18:58:17 : INFO : adding document #420000 to Dictionary(2757560 unique tokens: [u'tripolitan', u'ftdna', u'soestdijk', u'billycorgan', u'olmsville']...)
18:58:44 : INFO : adding document #430000 to Dictionary(2788447 unique tokens: [u'tripolitan', u'ftdna', u'soestdijk', u'billycorgan', u'olmsville']...)
18:59:14 : INFO : adding document #440000 to Dictionary(2822326 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
18:59:42 : INFO : adding document #450000 to Dictionary(2851260 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:00:10 : INFO : adding document #460000 to Dictionary(2884265 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:00:36 : INFO : adding document #470000 to Dictionary(2912695 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:01:03 : INFO : adding document #480000 to Dictionary(2943162 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:01:30 : INFO : adding document #490000 to Dictionary(2970663 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:01:57 : INFO : adding document #500000 to Dictionary(2999734 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:02:24 : INFO : adding document #510000 to Dictionary(3028529 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:02:51 : INFO : adding document #520000 to Dictionary(3057132 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:03:18 : INFO : adding document #530000 to Dictionary(3085976 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:03:45 : INFO : adding document #540000 to Dictionary(3116007 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:04:11 : INFO : adding document #550000 to Dictionary(3142552 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:04:37 : INFO : adding document #560000 to Dictionary(3170981 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:05:02 : INFO : adding document #570000 to Dictionary(3197245 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:05:27 : INFO : adding document #580000 to Dictionary(3220770 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:05:53 : INFO : adding document #590000 to Dictionary(3245433 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:06:19 : INFO : adding document #600000 to Dictionary(3273600 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:06:44 : INFO : adding document #610000 to Dictionary(3299713 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:07:09 : INFO : adding document #620000 to Dictionary(3324190 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'sigwan']...)
19:07:33 : INFO : adding document #630000 to Dictionary(3347405 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
19:07:59 : INFO : adding document #640000 to Dictionary(3371963 unique tokens: [u'tripolitan', u'billycorgan', u'olivierre', u'maderista', u'yallett']...)
